"institution.name","collection","object_number","object_category","object_name","title","description","creator","creator.role","production.place","production.period","production.date.start","production.date.start.prec","production.date.end","production.date.end.prec","material","material.part","dimension.part","dimension.value","dimension.unit","inscription.content","association.person","association.subject.type","association.subject","association.period"
"Industriemuseum","textiel","V04956","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met schuifring, twee kwasten (één ontbreekt, enkel aanzet), bol gesatineerd met tros, rol roulé-barré, bol gerold met passé en croix. Keel: met knoopwerk. Rok: torse guipée met draden. Kleur: goudbruin.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","70","cm","de Mérode","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V04979","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met schuifring, kwasten: chardon bouclé, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: roze en beige.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","63","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V04913","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit gevlochten galon met schuifring, twee kwasten: chardon bouclé, klok gerold met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: roze en beige.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","55","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V04919","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, radijs gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: beige en blauw.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","43","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V08248","verfmachine","verfkeuken","Verfkeuken met twee mengpotten van het merk Deck","De kleurstoffen voor de verfmachines worden voorbereid in de verfkeuken. De verschillende producten, worden er volgens een welbepaalde receptuur afgewogen en in ketels gemengd. Hoewel de functie in deze industriële omgeving primeert is er bij deze machine van  A. Deck uit het Franse Mulhouse ook enige aandacht voor esthetiek. De watertoevoer boven de twee mengketels heeft de vorm van een zwanenhals met uitgewerkte zwanenkop.","Deck A.","fabrikant","Mulhouse","3de kwart 20ste eeuw","1954","","","","metaal","geheel","geheel","200","cm","ETABLISSEMENTS / A. DECK / MULHOUSE - ZURICH / 1954 / 7060","Deck A.","onderwerp","textiel",""
"Industriemuseum","textiel","V04109","toonzaalmodellen","montuur voor luchter","Monture de lustre","Montuur voor luchter, bestaande uit vier lange kabels en tulp, koepel gesatineerd waarrond chardon bouclée en zes tulpblaadjes in feuilles bourriche. Kleur: zilver.","De Backer Passementerie","fabrikant","Brussel (stad)","20ste eeuw","1900","ca.","1990","ca.","textiel","geheel","kabel","105","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V08060","spinmachines","ringspinmachine","Ringspinmachine of spincontinu van het merk Howard & Bullough","Rond 1830 worden in de VS de eerste ringspinners ontwikkeld. Maar het duurt tot de in jaren 1840-1850 voor de eerste commercieel bruikbare machines opduiken. Bovendien verloopt de introductie ervan in Europa met enige vertraging. Ringspinnen heeft een aantal voordelen ten opzichte van het self-actor spinnen. De machine verbruikt minder energie. Het wisselen van de spoelen kan sneller en het torsen en opwinden van de draad verloopt in één continue beweging. Beide machines leveren echter een verschillende soort draad. Zo is de draad van een ringspinner meer getorst maar vaak regelmatiger gesponnen dan bij een self-actor. De ringspinner vraagt geen kracht, maar wel behendigheid en uithouding. Vrouwen en jonge meisjes worden als spinster en goedkope arbeidskrachten ingeschakeld om aan de machines te werken.

Deze ringspinmachine werd in 1899 geproduceerd door Howard & Bullough Ltd. In 1931 wordt de firma opgenomen in het grotere geheel van de Textile Machinery Makers Ltd.","Howard & Bullough Ltd","fabrikant","Accrington","einde 19de eeuw","1899","","","","metaal","geheel","geheel","151","cm","HOWARD & BULLOUGH. LTD / ACCRINGTON ENGLAND. 1899 // G. PELTZER-TEACHER / M.B.H. / MANCHESTER","Howard & Bullough Ltd","onderwerp","textiel","einde 19de eeuw"
"Industriemuseum","energie","V08698","gasverlichting","lantaarn","Lichtkooi van gaslantaarn voor openbare verlichting","Ronde lantaarn voor straatverlichting op gas. Beugel uit buizen voor de gastoevoer en met klokvormige koperen kap. De glazen stolp ontbreekt. Bevestigingssysteem voor 3 hangende gloeikousjes. De basis van de beugel is voorzien van een mechanische timer om de gastoevoer te regelen. Oorspronkelijk op een lantaarnpaal bevestigd.","onbekend","","","begin 20ste eeuw","1900","ca.","","","koper","kop","geheel","90","cm","","","","energie","begin 20ste eeuw"
"Industriemuseum","drukkerij","V08049","drukpersen","handpers","Gietijzeren handpers geproduceerd door Gouy","Gietijzeren hoogdruk handpers met houten voet uit het begin van de 19e eeuw, gemaakt door de Brusselse constructeur L. Gouy, model n° 2. Dit model vertoont gelijkenissen met de Stanhope pers, uitgevonden door Lord Stanhope in 1803.","Gouy L.","fabrikant","Brussel (stad)","1ste helft 19de eeuw","1803","","1837","-","gietijzer","geheel","geheel","153","cm","Par Brevet d'Invention / GOUY / Mechanicien / A BRUXELLES // N° 2","Gouy L.","onderwerp","drukkerij","1ste helft 19de eeuw"
"Industriemuseum","fotocollectie","F00011","","foto","Groepsfoto met personeel van koekjesfabriek Victoria in Koekelberg","De fabriek wordt in 1896 opgericht door Joseph Carlier, Emile Bossaert et Charles Jeghers, centraal op de foto van links naar rechts. In 1969 koopt General Biscuits het bedrijf op. Nadien wordt het overgenomen door General Chocolats.","Van Mill, Ant.","fotograaf","Brussel (stad)","einde 19de eeuw","1896","","1896","","fotopapier","geheel","geheel","28","cm","Photographie / Ant. Van Mill / 3, Place Ste-Gudule, 3 / Bruxelles //","Victoria-General Biscuits-General Chocolates","onderwerp","voeding","einde 19de eeuw"
"Industriemuseum","informatie en communicatie","V08963","telegrafie","telegraaf","Telegraaf of morsetelegraaf van het merk Richez","Telegraaf of morsetoestel van het merk Richez & Cie, type R1000. Een telegrafist seint of zendt met een seinsleutel of morsesleutel een gecodeerd bericht. Zijn collega die het bericht ontvangt zet het gecodeerde bericht terug om naar leesbare tekst en bezorgt dit aan de geadresseerde. De Belgische Regie der Telegraaf en Telefonie (RTT) gebruikt dit toestel tot kort na de Tweede Wereldoorlog. Het mechanisme werkt met een op te winden veermotor, ingewerkt in een messing behuizing. De veermotor drijft een papierband aan. Een elektromagneet bestaande uit twee cilinders zet de elektrische signalen van het verzonden bericht om in bewegingen die de inktschrijver aanstuurt. De inktschrijver beweegt over het papier en registreert zo het ontvangen bericht onder de vorm van korte of lange inktstrepen.","Richez Charles & Cie","fabrikant","Brussel (stad)","einde 19de eeuw","1870","ca.","1880","ca.","messing","geheel","geheel","33","cm","Richez & Cie / Bruxelles","Richez Charles & Cie","onderwerp","informatie en communicatie","einde 19de eeuw"
"Industriemuseum","wonen","V26063","benodigdheden wassen","waspoeder","Doos waspoeder van het merk Omo","Waspoeder van het merk Omo, te gebruiken voor het schoonmaken van wasgoed maar ook om de vaat te doen. Geproduceerd door Savonneries Lever Frères. Verpakking van 150 gram. Met Nederlandstalige en Franstalige tekst en gebruiksaanwijzing op de zijkant van de doos. Werd op de markt gebracht eind 1951-begin 1952. De verpakking is vermoedelijk ontworpen door Raymond Loewy.","Savonneries Lever Frères","fabrikant","Brussel (stad)","3de kwart 20ste eeuw","1952","ca.","1954","ca.","karton","verpakking","geheel","9","cm","OMO / VOOR HET PROPERSTE LINNEN // OMO / ZONDER WEERGA VOOR ALLE HUISHOUDELIJK GEBRUIK / GROTE WAS, WERKEN, AFKOKEN, MACHINEWAS / Deze doos volstaat voor 3 tot 4 emmers water. Gebruik Omo zonder een ander product er bij te voegen en doe zoals gewoonlijk. / FIJNE WEEFSELS EN WOLLEGOED / Knijp deze voorwerpen in een koud of lauw Omo-sop. / AFWAS / Een weinig Omo in het water, zelfs koud, volstaat om heel het vaatwerk te ontvetten en te doen schitteren. / OMO IS ZACHT VOOR DE HANDEN","Savonneries Lever Frères","onderwerp","wonen","3de kwart 20ste eeuw"
"Industriemuseum","fotocollectie","F01483","","foto","Jonge arbeidsters aan het werk in het zwingelkot van een vlasfabriek","","onbekend","","","einde 19de eeuw","1900","ca.","1900","","fotopapier","geheel","geheel","29","cm","","","onderwerp","textiel","einde 19de eeuw"
"Industriemuseum","fotocollectie","F00116","","foto","Binnenzicht van ketelhuis met stoomketelinstallatie met semi-automatische cokesvulling","","onbekend","","","begin 20ste eeuw","1920","ca.","","","fotopapier","geheel","geheel","14.3","cm","","","onderwerp","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F00077","","foto","Personeel blikslagerij Tessens in Gent","Centraal op de foto zit wellicht de directeur, geflankeerd door arbeiders en arbeidsters in werkkledij. Vooraan jongen met bord waarop geschreven staat: 'Blikslagerij De We D. Tessens Gent 1901'.","Jacobs B. & Cie","fotograaf","Gent","begin 20ste eeuw","1901","","1901","","fotopapier","geheel","geheel","29","cm","B. Jacobs & Cie / Gand / 19, Vieux Marché aux Veaux //","Tessens D. Blikslagerij","onderwerp","metaal en machinebouw","begin 20ste eeuw"
"Industriemuseum","drukkerij","V09206","drukpersen","degelpers","Kleine degelpers van het merk Adana","Kleine manuele degelpers, tafelmodel, van het merk Adana Printing Machines Ltd, type 8x5. Voornamelijk gebruikt voor hobby doeleinden. De pers is voorzien van vier zetramen en negen klemmen (7 klein en 2 groot).","Adana Printing Machines Ltd","fabrikant","Twickenham (Londen)","2de helft 20ste eeuw","1953","","1990","","metaal","geheel","geheel","48","cm","ADANA / EIGHT-FIVE","Adana Printing Machines Ltd","onderwerp","drukkerij","2de helft 20ste eeuw"
"Industriemuseum","wonen","V01588","kooktoestellen","primusbrander","Primusbrander van het merk Les Fonderies Bruxelloises","Klein geëmailleerd kookvuur op spiritus met 1 brander. Van het merk Les Fonderies Bruxelloises, type l'Econome.","Les Fonderies Bruxelloises (Fobrux)","fabrikant","Haren (Brussel)","1ste helft 20ste eeuw","","","","","gietijzer","geheel","geheel","20","cm","l'econome / F.B.","Les Fonderies Bruxelloises (Fobrux)","onderwerp","wonen","1ste helft 20ste eeuw"
"Industriemuseum","fotocollectie","F00021-002","","foto","Binnenzicht van drukkerij Gebroeders Meere te Gent","Interieur van de drukkerij van de Gebroeders Meere aan de Ham te Gent. Met een cilinderpers en degelpers voorzien van een aandrijfriem en twee man aan het werk.","onbekend","","","2de kwart 20ste eeuw","1930","ca.","1939","ca.","fotopapier","geheel","geheel","23","cm","","Meere Gebroeders Drukkerij","onderwerp","drukkerij","2de kwart 20ste eeuw"
"Industriemuseum","fotocollectie","F00186-001","","foto","Ontwerptekening van een stoommachine","","Mallebrancke, G.","ontwerper","","20ste eeuw","","","","","fotopapier","geheel","geheel","6.4","cm","Compresseur de 170 x 400. ","","onderwerp","energie","20ste eeuw"
"Industriemuseum","fotocollectie","F00197","","foto","Machinezaal van spinnerij Cotonnière des Flandres met tandem-compound stoommachine van het merk Van den Kerchove","Interieur van de machinezaal van spinnerij Cotonnière des Flandres, aan de Kempstraat in Gent - België, met een tandem-compund stoommachine van het merk Van den Kerchove - Anciens Ateliers de Construction.
Voor de transmissie vanaf het vliegwiel werd gebruik gemaakt van kabels of snaren in plaats van riemen. Tijdens de opname draaide de machine.","onbekend","","","1ste helft 20ste eeuw","1920","","1939","","fotopapier","geheel","geheel","29.5","cm","","Cotonnière des Flandres nv","onderwerp","energie","1ste helft 20ste eeuw"
"Industriemuseum","fotocollectie","F00152","","foto","Man poseert bij gasmotor","","onbekend","","","2de kwart 20ste eeuw","","","","","fotopapier","geheel","geheel","17.7","cm","","","onderwerp","energie","2de kwart 20ste eeuw"
"Industriemuseum","fotocollectie","F00254","","foto","Binnenzicht machinezaal met stoommachine","","onbekend","","","20ste eeuw","","","","","fotopapier","geheel","geheel","495","mm","","","onderwerp","energie","20ste eeuw"
"Industriemuseum","fotocollectie","F00266","","foto","Binnenzicht spinnerij met twijnmolens","Jonge arbeiders en arbeidsters poseren bij en op de twijnmolens in een spinnerij, wellicht het textielbedrijf Filature & retorderie de coton Georges & Max Van Acker in Gent. De twijnmolens noemt men op de werkvloer vaak 'de retords'. De machines worden aangedreven via aandrijfriemen die verbonden zijn met een centrale transmissie-as.","onbekend","","","begin 20ste eeuw","","","","","fotopapier","geheel","geheel","23","cm","Encadrements tous genres / L. Cromps / 15, rue van Oost //","Van Acker G. & M. nv","onderwerp","textiel","begin 20ste eeuw"
"Industriemuseum","textiel","V08050","spinmachines","spinmachine","Mule Jenny of Spinning Mule","Deze halfautomatische spinmachine staat symbool voor de eerste industriële revolutie in Vlaanderen. Ze werd op punt gesteld door Samuel Crompton en  combineert de technische basisprincipes van de spinning jenny van Hargreaves en het 'waterframe' van Arkwright. Het is de voorloper van de volautomatische spinmachine of self-actor. De Gentse ondernemer Lieven Bauwens smokkelde de eerste Mule Jenny uit Engeland naar het vasteland. De machine in het Industriemuseum kan 29 draden tegelijk spinnen en dateert vermoedelijk uit ca. 1810.","onbekend","","","begin 19de eeuw","1810","ca.","","","hout","geheel","geheel","165","cm","","","onderwerp","textiel","begin 19de eeuw"
"Industriemuseum","fotocollectie","F01056","","foto","Eerste dieselmotor gebouwd in Gent","Deze verticale, mono- of ééncilinder dieselmotor staat klaar voor transport of montage op de testbank.","onbekend","","","20ste eeuw","","","","","fotopapier","geheel","","","","","","onderwerp","energie","20ste eeuw"
"Industriemuseum","fotocollectie","F00109","","foto","Interieur Van den Kerchove, elektriciteitscentrale","Interieur van een machinezaal met stoomturbines van het merk Delattre et Mariolle uit Franrijk. Mogelijk het interieur van de centrale van Anciens Ateliers de Construction Van den Kerchove aan de Coupure in Gent, uitgerust met 4 turbogeneratoren.  Een turbogenerator is een stoomturbine gekoppeld aan een alternator (wisselspanning) of een dynamo (gelijkspanning), voor het opwekken van elektriciteit.","Buyens, Joseph","fotograaf","Gent","1ste helft 20ste eeuw","1900","","1935","","fotopapier","geheel","geheel","16.5","cm","Jsh Buyens / Gand / Ch. de Swynaerde, 185 //","Van den Kerchove Anciens Ateliers de Construction","onderwerp","energie","1ste helft 20ste eeuw"
"Industriemuseum","fotocollectie","F00110","","foto","Binnenzicht ateliers met scheepsmotoren van constructiebedrijf Carels-Van den Kerchove","Twee triple compound of triple-expansie stoommachines voor maritiem gebruik, in de productiehal of op de testbank.","Buyens, Joseph","fotograaf","Gent","begin 20ste eeuw","1920","","","","fotopapier","geheel","geheel","17.3","cm","Jph Buyens / Gand / Ch. de Swynaerde, 185 // 88","Van den Kerchove Anciens Ateliers de Construction","onderwerp","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F00111","","foto","Turbogenerator van het merk Van den Kerchove in machinezaal","Interieur van een machinezaal met een turbogenerator van Van den Kerchove Anciens Ateliers de Construction. Een turbogenerator is een stoomturbine gekoppeld aan een dynamo, voor het opwekken van elektriciteit.","Buyens, Joseph","fotograaf","Gent","begin 20ste eeuw","1920","","","","fotopapier","geheel","geheel","16.6","cm","Jph Buyens / Gand / Ch. de Swynaerde, 185 //","Van den Kerchove Anciens Ateliers de Construction","onderwerp","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F00112-001","","foto","Binnenzicht ruimte met scheepsmotor van Gents constructiebedrijf SEM-Carels","","Buyens, Joseph","fotograaf","Gent","begin 20ste eeuw","1920","ca","","","fotopapier","geheel","geheel","17","cm","Jph Buyens / Gand / Ch. de Swynaerde, 185//","SEM-Carels","onderwerp","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F00114","","foto","Groepsportret van Vlaams familiebedrijf passementiers-modisten","","onbekend","","","3de kwart 19de eeuw","1860","ca.","1860","","fotopapier","geheel","geheel","13","cm","","","onderwerp","passementerie","3de kwart 19de eeuw"
"Industriemuseum","fotocollectie","F01137","","foto","Machinezaal van de textielfabriek Lousbergs","Deze centrale machine leverde de drijfkracht voor het volledige bedrijf. Voor alle textielmachines en tevens voor een grote goederenlift.","onbekend","","","begin 20ste eeuw","1900","ca.","1930","ca.","fotopapier","geheel","","18","cm","","Lousbergs Ferdinand nv","","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F01148","","foto","Bestelwagens van brouwerij Cobbaert-Donny in Gent","Versierde vrachtwagen en koets van brouwerij Cobbaert-Donny na een reclameoptocht aan de Reep in Gent. De brouwerij, water- en limonadefabriek was gelegen in de Sint-Pietersnieuwstraat in Gent.","Ritsaert, Albert","fotograaf","","2de kwart 20ste eeuw","1937-05-16","","","","fotopapier","geheel","geheel","13","cm","","Cobbaert-Donny","onderwerp","voeding","2de kwart 20ste eeuw"
"Industriemuseum","fotocollectie","F00118","","foto","Binnenzicht van een machinezaal met stoommachine van constructiebedrijf Phoenix","","onbekend","","","begin 20ste eeuw","1910","ca.","1920","ca.","fotopapier","geheel","geheel","14.7","cm","","Phoenix","onderwerp","energie","begin 20ste eeuw"
"Industriemuseum","fotocollectie","F01202","","foto","Stadsgezicht van het Zuid in Gent","Zicht vanuit Koning Albertpark of Zuidpark op de hoek Woodrow Wilsonplein en Rooseveltlaan. Op de achtergrond het dak van het Wintercircus. Het Stedelijk Administratief Centrum AC Zuid is nog niet gebouwd. Het huizenblok waar later het Urbiscomplex komt, is nog niet gesloopt.","Debeerst, Philippe","fotograaf","Gent","einde 20ste eeuw","1985","","","","fotopapier","geheel","geheel","31","cm","","","geografie","Gent","einde 20ste eeuw"
"Industriemuseum","fotocollectie","F01286","","foto","Binnenzicht stookruimte met stoomketel van de lintjesweverij Vermeiren te Hamme","","onbekend","","","20ste eeuw","","","","","fotopapier","geheel","","","","","","onderwerp","energie","20ste eeuw"
"Industriemuseum","wonen","V28189","benodigdheden wassen","waspoeder","Doos waspoeder van het merk Udi","Waspoeder van het merk Udi. Geproduceerd door Tensia nv. Verpakking van 240 gram. Met Nederlandse en Franse tekst.","Tensia nv","fabrikant","Luik (stad)","3de kwart 20ste eeuw","1950","ca.","1960","ca.","karton","verpakking","geheel","19.3","cm","MET / udi / WIT / HAGELWIT LINNEN // UDI kent het geheim van de helderheid van uw linnen. / Het heeft een krachtige werking tot in zijn kleinste onderdeeltjes en verdrijft letterlijk het vuil. UDI is buitengewoon, zelfs voor de fijnste was. / UDI verlevendigt de kleuren. / UDI is een zuiver produkt en beschermt de zachtheid van uw handen. ","Tensia nv","onderwerp","wonen","3de kwart 20ste eeuw"
"Industriemuseum","textiel","V08029","benodigdheden spinnen","garenwinder","Vaste haspel of garenwinder","Houten molen om garen op te winden. Een garenwinder wordt gebruikt om een streng garen of wol tot een bol te winden of met een handrad op spoelen te zetten.","onbekend","","","","","","","","hout","geheel","geheel","73","cm","","","onderwerp","textiel",""
"Industriemuseum","wonen","V13000","verwarmingstoestellen","kachel","Gaskachel van het merk AP","Geëmailleerde kachel op gas van het merk AP.","AP","fabrikant","Brussel (stad)","20ste eeuw","","","","","gietijzer","geheel","geheel","40","cm","AP / BREVETE SGDG AP BRUXELLES","AP","onderwerp","wonen",""
"Industriemuseum","textiel","V02657-001","textielgarens","garen","Spoel met inslaggaren voor passement","Spoel in kunststof omwonden met polyester garen met de kleur sterk zilver.","onbekend","","","2de helft 20ste eeuw","1950","ca.","1990","ca.","polyester","garen","geheel","6.8","cm","","","onderwerp","textiel","2de helft 20ste eeuw"
"Industriemuseum","energie","V15079","elektrische verlichting","gloeilamp","Gloeilamp van het merk Sigtay","Elektrische lamp met schroeffitting en matte witte ballon in glas (peer) van het merk Sigtay, type E27 Perle. Bewaard in originele verpakking van golfkarton.
Technisch: 26V - 100W.","Sigtay","fabrikant","Ninove","20ste eeuw","","","","","karton","verpakking","verpakking","13.5","cm","26 V 100 W / E 27 PERLE-PAREL","","onderwerp","energie",""
"Industriemuseum","textiel","V04756","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met schuifring, twee kwasten: peer met vlakken, gesatineerd met roulé-barré. Rok: torse moulinée. Kleur: rood.","De Backer Passementerie","fabrikant","Brussel (stad)","1ste helft 20ste eeuw","1900","ca.","1950","ca.","textiel","gordijnophouder","geheel","52","cm","","","onderwerp","textiel","1ste helft 20ste eeuw"
"Industriemuseum","textiel","V04948","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met sierknoop, twee kwasten: omgekeerde koepel gesatineerd, peer gerold met tros. Keel: chardon bouclé. Rok: gesneden. Kleur: lichtblauw en lichtroze.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","53","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","wonen","V28186","benodigdheden wassen","waspoeder","Doos waspoeder van het merk Sunil","Waspoeder van het merk Sunil, type K7. Geproduceerd door Savonneries Lever Frères. Verpakking van 425 gram. Met Nederlandse en Franse tekst en gebruiksaanwijzing op de zijkant van de doos.","Savonneries Lever Frères","fabrikant","Brussel (stad)","3de kwart 20ste eeuw","1950","ca.","1970","ca.","waspoeder","inhoud","geheel","21","cm","GAGNEZ / WIN / 4F / sans bouillir / rend le blanc LUMINEUX / SUNIL K7 / doet het wit STRALEN / zonder koken // SUNIL K7 / zonder koken / GAGNEZ / WIN / 4F // SUNIL K7 / zonder koken / GROTE WAS. - Weken: in koud water, 6 soeplepels per / 10 l. water. De beste weektijd is 7 tot 8 uren. - Wassen: / in water aan 60°, 6 tot 8 soeplepels per 10 l. water. / FIJNE WAS. - Niet weken. In lauw water zachtjes persen / en spoelen. Voorzichtig uitpersen en drogen. Voor fijn / kleurgoed dezelfde voorzorgen nemen als gewoonlijk 4 soeplepels per 10 l. water. / AFWAS. - 2 soeplepels per 10 l. water. / Automatische machines wassen best met matig schuim. / Gebruik daarvoor Skip superkrachtig. / 430 G / BOITE ECONOMIQUE / VOORDELIGE DOOS ","Savonneries Lever Frères","onderwerp","wonen","3de kwart 20ste eeuw"
